migration	batch
2026_03_05_000001_laravel_core	1
2026_03_05_000002_rh_banque_core	1
2026_03_05_000003_caisse_guichet	1
2026_03_05_000004_add_guichet_to_affectations	1
2026_03_05_000005_seed_test_users	2
2026_03_06_000006_permissions_banque_complete	3
2026_03_07_103903_add_statut_observations_to_mouvements_inter_caisses	4
2026_03_07_105258_add_type_guichet_and_coffre_central	5
2026_03_07_210000_tresorerie_permissions_and_user	6
2026_03_07_220001_add_demande_appro_to_type_flux	7
2026_03_07_235000_add_motif_statut_to_cloture_caisse	8
2026_03_08_000001_add_en_verification_and_cloture_validation	9
2026_03_07_145751_add_timestamps_to_tb_caisses_guichets	10
2026_03_08_110000_extend_tb_transactions_for_guichet	11
2026_03_08_120000_drop_client_columns_from_tb_transactions	12
2026_03_08_120000_drop_client_columns_from_tb_transactions	12
2026_03_10_200000_create_tb_demandes_modification	13
2026_03_13_238000_extend_tb_plan_comptable_for_ohada_structure	14
2026_03_13_239000_seed_full_ohada_chart_accounts	15
2026_03_10_000001_update_type_enum_tb_comptes	16
2026_03_13_210000_create_tb_commission_rules_and_transaction_commissions	16
2026_03_13_233000_add_accounting_snapshots_to_tb_transactions	16
2026_03_13_234000_create_tb_compta_journaux_and_ecritures	16
2026_03_13_235000_seed_ohada_accounts_and_comptabilite_permissions	16
2026_03_13_246000_add_unique_constraints_for_banking_integrity	17
2026_03_16_000012_credit_permissions	17
2026_03_16_000011_credit_module_tables	18
2026_03_18_000015_remove_global_crud_permissions	19
2026_03_18_000016_remove_duplicate_module_permissions	19
2026_03_18_000017_normalize_permission_action_aliases	19
2026_03_18_000018_refine_permission_action_wording_by_context	19
2026_03_18_000019_split_modify_delete_permissions_by_module	19
2026_02_23_000001_create_app_tables	1
2026_02_23_000002_create_laravel_tables	1
2026_02_28_000000_add_timestamps_to_tb_zones	1
2026_02_28_000002_laravel_tables	1
2026_02_28_000003_system_tables	1
2026_03_18_000013_extend_permissions_crud_tresorerie_agents_terrain	20
2026_03_18_000014_add_module_specific_crud_permissions	20
2026_03_18_000020_add_caisse_journal_report_view_permission	20
2026_03_19_000013_credit_legacy_permissions_cleanup	20
2026_03_19_000014_make_credit_demande_account_fields_nullable	20
2026_03_21_000022_create_tb_affectations_zones	20
2026_03_21_000023_create_tb_affectations_portefeuilles	20
2026_04_28_000001_create_notifications_table	20
2026_03_21_000025_make_zone_and_portefeuille_agents_nullable	21
2026_03_21_000026_drop_zone_portefeuille_historiques	21
2026_03_24_180000_add_agent_analyse_to_credit_demandes	21
2026_04_28_000001_add_signature_columns_to_credit_validations	21
2026_04_28_000002_add_service_provenance_to_credit_demandes	21
2026_04_28_000003_reorder_credit_validation_workflow	21
2026_04_28_000004_persist_credit_actor_and_deblocage_rules	21
2026_04_28_000005_persist_full_credit_matrix_and_test_actors	21
2026_04_28_000006_add_duree_validee_to_credit_validations	21
2026_04_29_000001_add_caution_fields_to_credit_deblocages	21
2026_04_29_140000_fix_compte_debit_fk_in_credit_deblocages	21
2026_05_03_000001_round_and_sync_credit_amounts	22
2026_05_03_141500_expand_numero_ordre_in_credit_deblocages	22
2026_05_03_142500_grant_bordereau_permission_to_gerant_and_directeur	23
2026_05_04_000002_enforce_portefeuille_not_null_on_credit_demandes	24
2026_05_04_104108_enforce_portefeuille_id_not_null_on_credit_demandes	25
2026_06_02_000000_add_caisse_remboursements_permission	26
2026_06_02_000021_add_caisse_remboursements_permission	26
2026_06_02_000022_remove_credit_remboursement_permission	27
2026_06_02_000023_add_caisse_releve_credit_permission	28
2026_06_07_142625_add_transaction_id_to_credit_remboursements_table	29
2026_06_08_145711_add_prelevement_auto_to_credit_demandes	30
